,real_time-request-bases,real_time-request-end,real_time-request-exchanges,real_time-request-interval,real_time-request-methodology-vwm_twap-kind,real_time-request-methodology-vwm_twap-vwm_partition_size,real_time-request-percentiles,real_time-request-quote,real_time-request-semi_length_kind,real_time-request-semi_length_window,real_time-request-start,real_time-update_cron
KK_PR_DOTUSD,"[{'asset': 'dot', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'cbse', 'hitb', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_EGLDUSD,"[{'asset': 'egld', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'cbse', 'hitb', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_ENJUSD,"[{'asset': 'enj', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bnus', 'btrx', 'cbse', 'gmni', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_EOSUSD,"[{'asset': 'eos', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bequ', 'bfnx', 'cbse', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_ETCUSD,"[{'asset': 'etc', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'cbse', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_ETHUSD,"[{'asset': 'eth', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bnus', 'cbse', 'krkn', 'lmax', 'stmp']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_ETHUSD_1S,"[{'asset': 'eth', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bnus', 'cbse', 'krkn', 'lmax', 'stmp']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/1 * * * * * *
KK_PR_FILUSD,"[{'asset': 'fil', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'cbse', 'hitb', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_FLOWUSD,"[{'asset': 'flow', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bnus', 'cbse', 'hitb', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_FTMUSD,"[{'asset': 'ftm', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'gmni', 'hitb', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_HBARUSD,"[{'asset': 'hbar', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bnus', 'btrx', 'cbse', 'hitb', 'stmp']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_ICPUSD,"[{'asset': 'icp', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'hitb', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_IOTAUSD,"[{'asset': 'iota', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_LINKUSD,"[{'asset': 'link', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'cbse', 'gmni', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_LTCUSD,"[{'asset': 'ltc', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'eris', 'krkn', 'lmax', 'stmp']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_LUNAUSD,"[{'asset': 'luna', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['gmni', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_MANAUSD,"[{'asset': 'mana', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'cbse', 'gmni', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
