,real_time-request-bases,real_time-request-end,real_time-request-exchanges,real_time-request-interval,real_time-request-methodology-vwm_twap-kind,real_time-request-methodology-vwm_twap-vwm_partition_size,real_time-request-percentiles,real_time-request-quote,real_time-request-semi_length_kind,real_time-request-semi_length_window,real_time-request-start,real_time-update_cron
KK_RR_MATICUSD,"[{'asset': 'matic', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn', 'stmp']",15s,UNIFORM_KERNEL,3s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,15s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_MKRUSD,"[{'asset': 'mkr', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn']",30s,UNIFORM_KERNEL,3s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,30s,1970-01-01T00:00:00.000000000Z,*/10 * * * * * *
KK_RR_SANDUSD,"[{'asset': 'sand', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn', 'stmp']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_SOLUSD,"[{'asset': 'sol', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn']",15s,UNIFORM_KERNEL,3s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,15s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_TRXUSD,"[{'asset': 'trx', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['btrx', 'cexi', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_UNIUSD,"[{'asset': 'uni', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'itbi', 'krkn', 'stmp']",60s,UNIFORM_KERNEL,6s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,60s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_USDCUSD,"[{'asset': 'usdc', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['gmni', 'krkn', 'stmp']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_USDTUSD,"[{'asset': 'usdt', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'krkn', 'stmp']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_XLMUSD,"[{'asset': 'xlm', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'krkn', 'stmp']",200000s,UNIFORM_KERNEL,2s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,20s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_XRPUSD,"[{'asset': 'xrp', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['krkn', 'lmax', 'stmp']",15s,UNIFORM_KERNEL,3s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,15s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_XTZUSD,"[{'asset': 'xtz', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn']",15s,UNIFORM_KERNEL,3s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,15s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_ZECUSD,"[{'asset': 'zec', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn']",125s,UNIFORM_KERNEL,12s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,120s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
